| sepal_length | sepal_width | petal_length | petal_width | species | Sepal Length/Width Ratio |
|--------------|-------------|--------------|-------------|---------|--------------------------|
| 5.1          | 3.5         | 1.4          | 0.2         | setosa  | 1.457143                 |
| 4.9          | 3.0         | 1.4          | 0.2         | setosa  | 1.633333                 |
| 4.7          | 3.2         | 1.3          | 0.2         | setosa  | 1.468750                 |
| 4.6          | 3.1         | 1.5          | 0.2         | setosa  | 1.483871                 |
| 5.0          | 3.6         | 1.4          | 0.2         | setosa  | 1.388889                 |
| 5.4          | 3.9         | 1.7          | 0.4         | setosa  | 1.384615                 |
| 4.6          | 3.4         | 1.4          | 0.3         | setosa  | 1.352941                 |
| 5.0          | 3.4         | 1.5          | 0.2         | setosa  | 1.470588                 |
| 4.4          | 2.9         | 1.4          | 0.2         | setosa  | 1.517241                 |
| 4.9          | 3.1         | 1.5          | 0.1         | setosa  | 1.577778                 |
